artist_name,genre,career_stage,spotify_listeners,monthly_streams,youtube_views,instagram_followers,tiktok_followers,engagement_rate,gigs_per_year,avg_show_revenue,annual_revenue,career_score
Artist 1,Hip-Hop / Rap,Established (10+ yrs),46654,733130,188734,98505,218833,11.0,69,7305.57,20956,36
Artist 2,Amapiano,Developing (2–5 yrs),167070,1598881,595255,493371,598275,6.6,5,1080.82,53086,56
Artist 3,Electronic / EDM,Emerging (0–2 yrs),51250,305381,107832,129174,173876,10.4,28,8116.36,153798,40
Artist 4,Jazz,Established (10+ yrs),57968,170510,36763,89017,279953,1.8,12,8267.47,151699,18
Artist 5,Electronic / EDM,Mid-Career (5–10 yrs),70077,650183,126221,121883,267525,10.6,20,672.53,104688,33
Artist 6,Pop,Emerging (0–2 yrs),78379,1008930,179029,196611,302934,8.7,6,7320.26,125109,51
Artist 7,Classical,Developing (2–5 yrs),198628,1018443,285761,526753,796054,8.5,73,3290.93,2059,43
Artist 8,Latin,Developing (2–5 yrs),59410,383062,75785,108052,81088,4.4,41,6483.79,70309,32
Artist 9,Afrobeats,Emerging (0–2 yrs),145022,2588359,529451,290079,271347,1.5,25,2298.38,11711,55
Artist 10,Classical,Mid-Career (5–10 yrs),122043,2318849,936703,222447,270362,8.1,10,4761.8,151459,54
Artist 11,Classical,Mid-Career (5–10 yrs),82564,203711,69874,205955,301540,6.3,79,6268.18,136814,34
Artist 12,Jazz,Established (10+ yrs),115496,1768764,683225,207997,285722,1.9,15,1527.38,113183,38
Artist 13,R&B / Soul,Developing (2–5 yrs),49137,425392,125225,80641,201267,5.9,62,8759.71,109120,40
Artist 14,Hip-Hop / Rap,Emerging (0–2 yrs),170749,1832915,362721,237440,604572,5.5,38,3235.82,161427,72
Artist 15,Indie / Alternative,Emerging (0–2 yrs),81882,1041558,216088,235439,363519,7.0,27,8031.36,68105,47
Artist 16,Pop,Established (10+ yrs),64811,1074693,283215,181946,101721,9.0,77,1842.29,83622,31
Artist 17,R&B / Soul,Emerging (0–2 yrs),185100,3260685,1202794,224372,660793,2.1,40,2506.01,52621,70
Artist 18,Latin,Developing (2–5 yrs),59211,1153950,289843,80215,212091,10.9,8,1139.25,59064,40
Artist 19,Afrobeats,Developing (2–5 yrs),69371,731666,167621,94854,147045,4.8,45,2685.92,36838,30
Artist 20,Classical,Emerging (0–2 yrs),55225,210143,93611,128970,73496,8.6,67,4505.6,19259,30
Artist 21,Indie / Alternative,Mid-Career (5–10 yrs),119037,1431527,249355,72969,171566,2.0,5,1606.26,120054,28
Artist 22,Pop,Emerging (0–2 yrs),20653,235048,71596,16006,34795,8.3,59,5562.42,15552,25
Artist 23,R&B / Soul,Emerging (0–2 yrs),89791,305929,59996,238785,204382,1.6,68,4504.75,35989,35
Artist 24,Hip-Hop / Rap,Established (10+ yrs),11572,102467,45300,16360,41229,7.9,27,3272.66,77234,14
Artist 25,Pop,Emerging (0–2 yrs),106193,1081391,272220,208414,115661,2.6,32,3767.11,114866,45
Artist 26,R&B / Soul,Mid-Career (5–10 yrs),121283,1402255,523984,65961,163818,3.6,21,1780.08,132946,40
Artist 27,Hip-Hop / Rap,Mid-Career (5–10 yrs),31616,127232,57120,19127,79348,5.2,51,5233.99,101156,25
Artist 28,Indie / Alternative,Developing (2–5 yrs),63349,444512,191920,147011,134234,11.5,69,2743.16,54428,33
Artist 29,Indie / Alternative,Developing (2–5 yrs),162509,491281,112835,484010,715560,6.7,70,6817.03,128056,50
Artist 30,Latin,Emerging (0–2 yrs),154260,1947185,584301,375866,185072,6.4,46,568.81,78165,59
Artist 31,Indie / Alternative,Emerging (0–2 yrs),73161,1119243,359942,123145,269326,6.1,38,1481.71,172057,45
