answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,overall_score
1,1,5,5,3,5,1,4,2,5,2,4,94
4,4,3,4,5,2,4,3,3,4,4,1,100
4,4,5,3,5,1,1,2,1,3,5,4,100
4,1,3,2,3,1,2,4,2,4,1,5,91
4,1,3,5,2,5,3,4,2,5,3,3,100
3,3,3,2,5,2,4,4,3,2,3,4,100
2,3,4,5,5,1,5,3,1,2,2,3,100
2,2,1,4,4,4,2,3,5,2,5,5,100
2,5,1,4,3,2,2,1,2,3,5,3,88
3,4,2,3,1,4,5,4,5,5,5,3,100
2,4,4,3,3,1,3,3,1,1,4,5,91
2,2,1,5,5,5,1,3,4,1,3,4,98
1,4,5,3,4,3,5,2,1,5,5,5,100
4,2,2,5,5,1,1,4,5,5,2,5,100
1,3,5,3,3,3,1,4,2,1,1,4,82
4,3,3,2,5,1,5,1,5,3,2,1,94
5,2,1,5,4,5,5,3,2,3,2,5,100
3,1,1,5,5,2,2,3,2,2,1,2,81
3,5,2,4,2,4,2,5,4,4,4,1,100
3,2,1,3,2,3,5,4,3,5,2,4,98
5,5,4,4,2,3,2,2,3,1,4,3,100
2,2,2,2,3,1,2,4,3,2,4,4,89
5,4,5,2,3,5,1,3,4,5,3,1,100
5,3,2,5,3,1,5,3,4,3,4,5,100
5,3,5,2,5,3,1,5,3,5,4,2,100
4,3,2,2,2,1,3,2,1,1,5,3,88
4,5,2,1,3,3,1,5,5,4,1,2,97
1,5,2,4,5,3,4,4,3,3,4,4,100
3,1,4,2,3,1,4,1,5,5,5,3,100
4,5,3,2,1,1,1,2,1,5,4,2,81
2,3,4,5,1,2,2,4,1,4,2,1,84
2,2,5,4,3,3,3,1,1,5,2,4,94
4,2,3,3,1,4,3,5,4,4,4,4,100
3,5,3,3,2,3,3,2,4,1,3,3,100
3,3,4,1,4,1,5,3,3,3,5,3,100
2,2,4,5,5,5,5,2,3,4,3,4,100
4,2,5,3,5,4,4,1,3,1,1,4,100
1,1,3,1,5,3,1,4,2,3,5,4,93
1,5,2,5,1,5,1,3,2,2,3,5,95
5,5,1,2,2,2,2,3,1,4,1,4,83
2,4,5,3,3,3,1,2,3,2,2,2,85
5,3,1,3,3,4,2,3,3,4,1,4,100
3,3,3,5,4,4,5,1,1,5,3,4,100
3,2,4,3,5,4,5,2,3,5,5,1,100
1,4,2,3,1,4,4,3,3,3,5,5,100
4,2,3,1,2,4,4,5,5,4,4,3,100
2,1,4,2,5,4,4,4,1,3,5,2,100
3,3,3,1,5,4,5,3,5,3,3,1,100
1,4,4,4,1,3,1,1,1,3,3,2,69
5,2,5,5,3,3,4,3,2,3,3,4,100
2,2,2,4,4,5,3,1,2,4,4,3,100
1,3,5,3,5,5,5,4,3,1,4,4,100
4,3,5,1,3,1,1,3,5,2,3,1,92
2,1,4,5,3,2,2,5,3,4,3,2,100
5,4,2,2,5,1,4,4,2,1,4,5,100
1,4,1,4,1,4,2,2,3,4,3,5,95
4,4,4,3,4,4,2,5,5,5,1,5,100
5,2,2,3,3,2,4,3,1,2,4,5,97
3,3,3,5,2,1,2,4,1,1,4,4,88
2,3,2,4,4,2,5,2,1,3,5,3,100
4,4,4,5,2,1,5,1,2,1,4,4,100
3,5,2,2,2,2,5,4,1,4,4,4,100
5,1,1,3,4,2,3,5,2,3,5,4,100
3,5,1,3,3,4,1,2,5,1,4,2,94
5,1,1,1,5,5,3,5,5,2,5,4,100
3,3,2,1,2,1,3,4,1,2,4,4,80
2,4,4,4,5,1,3,4,1,5,2,3,100
5,2,5,1,4,3,4,3,5,5,3,2,100
1,3,2,1,4,5,3,3,4,5,5,2,100
3,3,3,3,1,1,1,5,3,1,1,3,81
4,4,4,5,5,1,1,3,2,4,2,1,100
5,2,2,5,4,3,2,4,2,3,2,5,100
5,4,3,3,4,4,3,2,2,4,2,3,100
4,5,3,2,4,3,4,2,4,2,3,5,100
4,3,5,3,4,1,3,4,3,3,1,2,97
5,5,5,5,3,3,3,2,5,1,3,3,100
5,3,3,1,5,1,5,2,4,3,1,5,100
3,5,1,3,2,1,2,4,1,4,1,4,79
2,3,5,4,2,3,4,5,3,2,3,2,100
4,1,1,5,3,5,4,1,5,5,5,3,100
1,2,2,5,4,3,5,4,4,3,5,1,100
4,3,4,4,3,5,4,4,3,4,4,1,100
1,2,2,3,5,5,1,5,1,5,3,3,100
4,4,1,2,3,2,4,2,5,2,1,5,93
2,3,4,5,2,5,1,5,5,4,4,5,100
3,5,4,2,5,5,5,5,5,2,1,1,100
1,3,5,4,4,1,5,5,1,3,3,2,100
3,3,2,3,2,3,1,1,1,3,5,2,76
2,1,1,1,1,1,4,5,2,2,3,3,76
1,3,5,2,2,2,4,1,2,5,5,2,98
5,1,2,5,1,2,4,3,1,3,3,4,92
3,3,5,3,1,4,3,1,5,4,3,1,100
2,4,1,4,2,3,4,3,1,3,2,5,88
5,1,3,1,2,5,1,5,4,2,4,5,98
1,1,2,3,5,5,5,2,2,2,3,3,100
2,1,5,1,3,4,4,2,2,1,3,2,74
1,2,2,5,2,4,4,1,3,1,5,4,87
5,4,5,5,3,3,2,2,2,1,1,2,100
5,4,3,5,3,2,1,4,2,3,3,5,100
1,2,4,5,5,5,5,4,5,2,4,3,100
3,3,1,4,2,2,4,2,4,2,2,2,81
2,5,4,5,2,5,3,1,2,1,2,1,89
2,4,1,3,4,4,3,3,3,2,1,5,100
5,2,5,3,2,4,1,5,1,1,2,5,100
3,2,2,1,4,1,4,4,4,3,2,3,92
2,3,2,5,2,2,4,4,4,4,4,2,100
2,1,3,3,1,5,1,3,4,3,2,3,87
4,2,5,1,4,2,5,4,1,2,4,5,100
3,1,1,4,2,3,3,2,3,1,3,2,81
2,5,2,2,2,4,4,4,4,1,3,5,100
4,3,3,5,5,4,1,1,4,1,2,3,95
5,4,5,3,2,2,4,4,2,2,3,4,100
3,5,5,4,1,2,1,1,1,2,5,5,94
3,2,4,2,4,5,4,5,4,3,2,4,100
3,1,4,4,5,4,1,1,3,3,4,1,91
1,1,5,2,3,3,5,2,1,5,4,2,98
1,4,2,3,5,2,1,4,5,4,4,4,100
3,1,1,4,1,2,2,2,3,5,1,5,85
2,5,5,5,2,2,2,1,3,5,5,2,100
5,1,4,1,3,4,5,3,4,1,1,4,98
3,2,1,1,5,3,5,5,1,5,5,4,100
2,5,3,5,5,1,5,2,2,3,4,5,100
3,5,2,3,1,4,3,1,2,1,3,1,79
5,2,2,1,4,3,4,5,5,1,2,2,93
2,2,3,4,1,1,2,2,1,4,3,4,88
4,1,2,2,3,4,2,1,1,3,4,5,91
2,5,5,4,1,4,1,5,3,1,4,1,100
1,3,2,2,4,3,3,4,1,1,3,5,95
2,5,4,2,3,1,4,5,1,3,4,1,100
5,3,3,2,5,5,2,5,5,2,3,1,100
3,2,2,3,4,4,2,3,3,5,4,2,95
5,4,1,3,1,5,2,3,4,1,2,1,91
